許淑婷,78,56,55,44,97,40,72
童建霖,84,48,87,98,65,97,42
吳振瑋,90,53,65,87,52,72,42
鍾俞禎,45,83,47,85,45,97,79
楊少亮,86,96,83,90,96,69,73
張凱妮,51,99,79,58,48,94,57
唐翊修,59,53,82,79,67,58,54
黃雅慧,59,82,51,83,95,54,70
陳得映,77,62,62,66,82,92,69
陳家維,67,69,66,82,92,74,86
梁柏宇,87,78,99,82,94,100,88
趙偉銘,80,79,95,48,63,88,100
林佳慧,41,41,44,45,41,48,54
梁柏宇,100,94,65,99,63,73,80
陳奇瑄,46,56,72,85,64,58,74
龐皓芳,82,87,87,48,71,42,52
羅佩樺,97,53,97,79,54,74,88
陳怡伶,83,83,59,69,85,100,89
元延辛,87,53,47,40,55,95,57
林珍旺,77,67,99,88,98,71,64
陳冠竹,75,91,57,74,63,61,71
潘俊賢,44,65,56,54,41,75,60
吳孟穎,65,42,65,50,42,88,79
張凱妮,40,51,97,90,86,60,52
陳孝邦,56,41,53,62,50,97,94
賴心怡,42,72,82,79,43,99,92
鄭琇亞,100,94,78,70,47,45,57
葉軍仰,60,65,82,71,68,60,99
林思賢,60,44,43,68,48,47,99
昌嘉洋,94,44,65,70,71,51,60
葉軍仰,73,72,97,78,71,40,93
李慶亮,68,67,83,42,40,43,48
張家秀,63,75,55,86,96,66,90
羅幸娥,87,42,68,99,89,70,97
謝水儒,65,95,74,99,81,52,70
胡淑貞,41,63,60,66,89,98,76
謝貞妃,68,79,74,81,70,47,48
張天亨,83,74,46,54,74,68,49
劉慧君,99,66,77,44,93,82,63
孫宜珊,49,54,41,61,81,47,60
黃奎紹,83,48,62,67,88,86,79
李彥伸,98,56,76,49,84,55,48
林士凱,52,51,91,48,68,100,48
林志喜,55,68,74,46,51,47,86
童建霖,43,55,65,63,41,46,57
劉耿琦,65,66,40,65,73,74,84
黃旻林,91,87,50,41,45,98,96
馮淑芬,77,97,55,90,47,51,79
張伊映,90,78,69,68,70,75,82
陳逸華,58,61,58,74,87,71,50
