姓名,科目1,科目2,科目3,科目4,科目5
李政白,84,57,86,95,88
蕭淑華,62,91,60,96,93
黃翔杰,55,51,51,74,100
黎惠雯,91,50,50,64,75
簡國瑋,42,52,48,86,71
楊又源,91,93,51,51,65
蔡孟泉,62,87,83,72,79
洪奎夫,41,54,100,51,66
翁羽威,50,53,99,94,64
林希啟,51,88,82,48,76
潘英迪,80,76,69,85,41
張家秀,50,72,70,78,93
林世城,89,99,79,89,78
劉旭士,88,93,41,56,64
彭茹靖,95,100,56,48,81
彭虹屏,57,80,95,98,89
吳明妮,81,78,41,51,48
陳樂紫,69,94,99,95,71
郭坤花,69,71,51,86,80
陳冠霞,57,43,66,91,85
尚偉倫,94,80,42,87,55
臧怡君,50,79,92,69,67
王筱婷,48,92,85,85,58
林世城,65,71,54,58,79
胡芳瑜,59,94,84,69,92
